FULL_ADDRESS,RENT_PER_MONTH,BEDS,BATHS,SQUARE_FEET,RENT_PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,RENT_TOTAL_COST_AFTER_30_YEARS
"831 Spoonbill Ln, Suisun City, CA 94585","$2,899.00",3,1,"1,088",$2.66,Spoonbill Ln,Suisun City,94585,38.2521068,-122.0156033,"$1,880,581.49"
"400 Kinsmill Ct, Suisun City, CA 94585","$2,739.00",2,2,"1,101",$2.49,Kinsmill Ct,Suisun City,94585,38.2417297,-122.0056711,"$1,776,789.48"
"905 Shadywood Cir, Suisun City, CA 94585","$2,999.00",3,2,"1,211",$2.48,Shadywood Cir,Suisun City,94585,38.2524463,-122.0213698,"$1,945,451.50"
"96 Chipman Ln, Suisun City, CA 94585","$3,099.00",4,2,"1,490",$2.08,Chipman Ln,Suisun City,94585,38.2447452,-122.0255795,"$2,010,321.51"
"801 Greenhead Way, Suisun City, CA 94585","$3,250.00",4,2,"1,814",$1.79,Greenhead Way,Suisun City,94585,38.2495822,-122.0182494,"$2,108,275.22"
"900 Bluejay Dr, Suisun City, CA 94585","$3,300.00",4,3,"1,960",$1.68,Bluejay Dr,Suisun City,94585,38.250424,-121.9986934,"$2,140,710.22"
"1010 Barrows Dr, Suisun City, CA 94585","$2,800.00",3,2,"1,320",$2.12,Barrows Dr,Suisun City,94585,38.2448354,-122.0041258,"$1,816,360.19"
"1513 Casa Loma Way, Suisun City, CA 94585","$3,500.00",3,2,"1,334",$2.62,Casa Loma Way,Suisun City,94585,38.2474334,-121.9855265,"$2,270,450.23"
"1222 Rebecca Dr, Suisun City, CA 94585","$2,900.00",4,3,"1,934",$1.50,Rebecca Dr,Suisun City,94585,38.2528924,-121.9962515,"$1,881,230.19"
"93 Coral Ln, Suisun City, CA 94585","$2,995.00",4,2,"1,490",$2.01,Coral Ln,Suisun City,94585,38.2450305,-122.0259982,"$1,942,856.70"
"611 Suisun St, Suisun City, CA 94585","$2,550.00",2,1,"1,448",$1.76,Suisun St,Suisun City,94585,38.2387694,-122.0416575,"$1,654,185.17"
"1925 Grande Cir Unit 12, Fairfield, CA 94533","$1,795.00",2,1,800,$2.24,Grande Cir Unit 12,Fairfield,94533,38.2634325,-122.009087,"$1,164,416.62"
"1607 Matthew Dr, Fairfield, CA 94533","$2,785.00",3,2,"1,196",$2.33,Matthew Dr,Fairfield,94533,38.2590168,-122.0189149,"$1,806,629.68"
"1320 Lasuen Dr, Millbrae, CA 94030","$6,522.00",3,2,"2,010",$3.24,Lasuen Dr,Millbrae,94030,37.585569,-122.3990542,"$4,230,821.83"
"30 Palm Ave, Millbrae, CA 94030","$5,800.00",3,3,"1,700",$3.41,Palm Ave,Millbrae,94030,37.595809,-122.393697,"$3,762,460.38"
"20 Hillcrest Blvd Unit 8, Millbrae, CA 94030","$2,050.00",0,1,600,$3.42,Hillcrest Blvd Unit 8,Millbrae,94030,37.6018353,-122.3925724,"$1,329,835.14"
"88 Linden Ave Unit 1, San Bruno, CA 94066","$2,985.00",2,1,780,$3.83,Linden Ave Unit 1,San Bruno,94066,37.6147604,-122.4068634,"$1,936,369.70"
"12 Linden Ave Apt 1, San Bruno, CA 94066","$3,000.00",2,1,800,$3.75,Linden Ave Apt 1,San Bruno,94066,37.612927,-122.4064169,"$1,946,100.20"
"509 Poplar Ave Unit 215B, Millbrae, CA 94030","$3,250.00",2,1,900,$3.61,Poplar Ave Unit 215B,Millbrae,94030,37.6017885,-122.398233,"$2,108,275.22"
"509 Poplar Ave Unit 227B, Millbrae, CA 94030","$2,700.00",1,1,735,$3.67,Poplar Ave Unit 227B,Millbrae,94030,37.6017885,-122.398233,"$1,751,490.18"
"472 Lincoln Cir Apt 4, Millbrae, CA 94030","$2,500.00",1,1,700,$3.57,Lincoln Cir Apt 4,Millbrae,94030,37.6003666,-122.4012865,"$1,621,750.17"
"509 Poplar Ave Unit 203C, Millbrae, CA 94030","$2,550.00",1,1,735,$3.47,Poplar Ave Unit 203C,Millbrae,94030,37.6017885,-122.398233,"$1,654,185.17"
"2022 Trousdale Dr Unit 9, Burlingame, CA 94010","$3,750.00",2,2,"1,120",$3.35,Trousdale Dr Unit 9,Burlingame,94010,37.5913381,-122.388005,"$2,432,625.25"
"20 Hillcrest Blvd Unit 12, Millbrae, CA 94030","$1,925.00",1,1,300,$6.42,Hillcrest Blvd Unit 12,Millbrae,94030,37.6018353,-122.3925724,"$1,248,747.63"
"2427 W Wall Ct, Porterville, CA 93257","$1,900.00",3,2,"1,206",$1.58,W Wall Ct,Porterville,93257,36.086514,-119.071501,"$1,232,530.13"
"258 N G St, Porterville, CA 93257","$1,005.00",2,1,656,$1.53,N G St,Porterville,93257,36.0703916,-119.0220794,"$651,943.57"
"1310 Pettis St, Porterville, CA 93257","$1,195.00",2,1,712,$1.68,Pettis St,Porterville,93257,36.0527624,-118.9915979,"$775,196.58"
"1874 W Roby Ave, Porterville, CA 93257","$2,100.00",3,2,"1,286",$1.63,W Roby Ave,Porterville,93257,36.0631051,-119.0585761,"$1,362,270.14"
"1380 Median Ave, Porterville, CA 93257","$2,100.00",3,2,"1,533",$1.37,Median Ave,Porterville,93257,36.0941739,-119.0480478,"$1,362,270.14"
"1897 W Union Ln, Porterville, CA 93257","$1,975.00",3,2,"1,760",$1.12,W Union Ln,Porterville,93257,36.0601737,-119.0625437,"$1,281,182.63"
"1896 W Roby Ave, Porterville, CA 93257","$1,895.00",3,3,"1,236",$1.53,W Roby Ave,Porterville,93257,36.0631193,-119.0594532,"$1,229,286.63"
"1122 N Belmont St, Porterville, CA 93257","$1,750.00",3,2,"1,080",$1.62,N Belmont St,Porterville,93257,36.0862569,-119.0576607,"$1,135,225.12"
"1955 W Wall Ave, Porterville, CA 93257","$1,900.00",3,2,"1,173",$1.62,W Wall Ave,Porterville,93257,36.0866092,-119.0608826,"$1,232,530.13"
"554 W Morton Ave, Porterville, CA 93257","$1,075.00",2,1,900,$1.19,W Morton Ave,Porterville,93257,36.0736297,-119.029524,"$697,352.57"
"267 W Belleview Ave, Porterville, CA 93257",$900.00,1,1,616,$1.46,W Belleview Ave,Porterville,93257,36.074411,-119.0226476,"$583,830.06"
"367 S Hockett St, Porterville, CA 93257","$1,600.00",3,2,"1,156",$1.38,S Hockett St,Porterville,93257,36.0591639,-119.0175512,"$1,037,920.11"
"688 W Willow Oak Ave, Porterville, CA 93257","$2,600.00",3,2,"1,810",$1.44,W Willow Oak Ave,Porterville,93257,36.0471542,-119.0327016,"$1,686,620.17"
"408 N 4th St Unit B, Porterville, CA 93257","$1,650.00",3,2,"1,366",$1.21,N 4th St Unit B,Porterville,93257,36.0733145,-119.0128176,"$1,070,355.11"
"753 E River Ave, Porterville, CA 93257",$695.00,0,1,269,$2.58,E River Ave,Porterville,93257,36.0564175,-119.0005286,"$450,846.55"
"642 N 2nd St, Porterville, CA 93257","$1,450.00",3,1,"1,198",$1.21,N 2nd St,Porterville,93257,36.0772838,-119.0147778,"$940,615.10"
"340 S Kessing St Unit A, Porterville, CA 93257","$1,350.00",2,1,"1,025",$1.32,S Kessing St Unit A,Porterville,93257,36.0597476,-119.024727,"$875,745.09"
"885 E Putnam Ave Unit 23, Porterville, CA 93257","$1,200.00",2,1,950,$1.26,E Putnam Ave Unit 23,Porterville,93257,36.068816,-118.9981772,"$778,440.08"
"1704 W Olive Ave Unit 107, Porterville, CA 93257",$995.00,1,1,660,$1.51,W Olive Ave Unit 107,Porterville,93257,36.0664199,-119.0559933,"$645,456.57"
"1304 S Plano St Unit C, Porterville, CA 93257","$1,095.00",2,1,800,$1.37,S Plano St Unit C,Porterville,93257,36.042183,-119.0083141,"$710,326.57"
"815 Tomah Ave Unit 12, Porterville, CA 93257",$800.00,1,1,700,$1.14,Tomah Ave Unit 12,Porterville,93257,36.0673403,-119.0357028,"$518,960.05"
"379 E Garden Ave Unit 381, Porterville, CA 93257","$1,000.00",1,1,500,$2.00,E Garden Ave Unit 381,Porterville,93257,36.0667335,-119.0088948,"$648,700.07"
"279 S G St Unit C, Porterville, CA 93257","$1,450.00",3,2,"1,318",$1.10,S G St Unit C,Porterville,93257,36.0606327,-119.0229039,"$940,615.10"
"1776 W Olive Ave Unit 41, Porterville, CA 93257","$1,150.00",2,1,710,$1.62,W Olive Ave Unit 41,Porterville,93257,36.066121,-119.0566993,"$746,005.08"
"3356 Cypress Ave, Kelseyville, CA 95451",$685.00,0,1,350,$1.96,Cypress Ave,Kelseyville,95451,39.0033877,-122.7878156,"$444,359.55"
"6841 Scotts Valley Rd, Lakeport, CA 95453","$1,700.00",2,2,"1,152",$1.48,Scotts Valley Rd,Lakeport,95453,39.1245695,-122.9951951,"$1,102,790.11"
"300 Grace Ln, Lakeport, CA 95453","$2,500.00",2,2,"1,200",$2.08,Grace Ln,Lakeport,95453,39.0307899,-122.9182682,"$1,621,750.17"
"330 20th St, Lakeport, CA 95453","$2,500.00",3,2,"1,281",$1.95,20th St,Lakeport,95453,39.0560535,-122.9176766,"$1,621,750.17"
"12678 Shoreview Dr, Clearlake Oaks, CA 95423","$1,650.00",2,1,816,$2.02,Shoreview Dr,Clearlake Oaks,95423,39.0241994,-122.6729614,"$1,070,355.11"
"805 Jerry Dr, Lakeport, CA 95453","$2,900.00",3,2,"1,649",$1.76,Jerry Dr,Lakeport,95453,39.0596011,-122.9217538,"$1,881,230.19"
"350 11th St, Lakeport, CA 95453","$1,600.00",2,2,"1,060",$1.51,11th St,Lakeport,95453,39.0492304,-122.9176973,"$1,037,920.11"
"10825 Laytonville Dos Rios Rd, Dos Rios, CA 95429","$2,350.00",2,2,"1,000",$2.35,Laytonville Dos Rios Rd,Dos Rios,95429,39.7156519,-123.354719,"$1,524,445.16"
"5362 Lancaster Rd, Lakeport, CA 95453","$2,200.00",3,2,"1,500",$1.47,Lancaster Rd,Lakeport,95453,39.1058851,-122.9098444,"$1,427,140.15"
"3270 Lakeview Dr, Nice, CA 95464","$2,200.00",3,2,"1,450",$1.52,Lakeview Dr,Nice,95464,39.1280375,-122.8521436,"$1,427,140.15"
"3224 E State Hwy 20, Nice, CA 95464","$2,200.00",3,2,"1,600",$1.38,E State Hwy 20,Nice,95464,39.1234381,-122.8512437,"$1,427,140.15"
"125 S Harrison St, Fort Bragg, CA 95437","$1,250.00",1,1,600,$2.08,S Harrison St,Fort Bragg,95437,39.4411503,-123.8023059,"$810,875.08"
"12960 Lakeview Dr, Clearlake Oaks, CA 95423","$1,400.00",1,1,659,$2.12,Lakeview Dr,Clearlake Oaks,95423,39.0284307,-122.6682829,"$908,180.09"
"787 Riverside Dr, Ukiah, CA 95482","$1,600.00",1,1,500,$3.20,Riverside Dr,Ukiah,95482,39.0533664,-123.1451273,"$1,037,920.11"
"19738 Jersey Ave, Lemoore, CA 93245","$1,100.00",2,1,576,$1.91,Jersey Ave,Lemoore,93245,36.2412443,-119.8067223,"$713,570.07"
"885 Wentworth Cir, Lemoore, CA 93245","$1,595.00",3,2,"1,341",$1.19,Wentworth Cir,Lemoore,93245,36.3059451,-119.7937415,"$1,034,676.61"
"1661 Redbud St, Lemoore, CA 93245","$2,200.00",3,2,"1,687",$1.30,Redbud St,Lemoore,93245,36.306623,-119.8053317,"$1,427,140.15"
"220 Lake Dr, Lemoore, CA 93245","$2,700.00",3,3,"2,200",$1.23,Lake Dr,Lemoore,93245,36.2828714,-119.7842334,"$1,751,490.18"
"873 Cedar Ln, Lemoore, CA 93245","$2,200.00",4,2,"1,856",$1.19,Cedar Ln,Lemoore,93245,36.2930447,-119.7937153,"$1,427,140.15"
"1075 Golf Ave, Lemoore, CA 93245","$2,250.00",3,2,"2,100",$1.07,Golf Ave,Lemoore,93245,36.2804531,-119.7877464,"$1,459,575.15"
"2365 Pepperdine St, Lemoore, CA 93245","$2,600.00",4,3,"2,085",$1.25,Pepperdine St,Lemoore,93245,36.291384,-119.81572,"$1,686,620.17"
"340 N Lemoore Ave Unit 340i, Lemoore, CA 93245",$975.00,1,1,550,$1.77,N Lemoore Ave Unit 340i,Lemoore,93245,36.3033093,-119.7805145,"$632,482.56"
"554 Green Ln, Lemoore, CA 93245","$1,900.00",2,2,867,$2.19,Green Ln,Lemoore,93245,36.2818824,-119.7891396,"$1,232,530.13"
"340 N Lemoore Ave Unit 348A, Lemoore, CA 93245","$1,050.00",2,1,650,$1.62,N Lemoore Ave Unit 348A,Lemoore,93245,36.3033093,-119.7805145,"$681,135.07"
"1154 Paradise Loop, Lemoore, CA 93245","$2,500.00",4,2,"2,279",$1.10,Paradise Loop,Lemoore,93245,36.278628,-119.7822896,"$1,621,750.17"
"1660 Gill Dr, Dixon, CA 95620","$3,295.00",4,2,"1,968",$1.67,Gill Dr,Dixon,95620,38.4634864,-121.8277481,"$2,137,466.72"
"1955 Folsom Fair Cir, Dixon, CA 95620","$1,030.00",4,3,"2,697",$0.38,Folsom Fair Cir,Dixon,95620,38.4372669,-121.8275924,"$668,161.07"
"1436 Bello Dr, Dixon, CA 95620","$3,050.00",3,3,"2,477",$1.23,Bello Dr,Dixon,95620,38.4339216,-121.8291366,"$1,978,535.20"
"430 Ellesmere Dr, Dixon, CA 95620","$1,850.00",2,2,844,$2.19,Ellesmere Dr,Dixon,95620,38.4578809,-121.8244337,"$1,200,095.12"
"1075 Swarthmore Ct, Dixon, CA 95620","$2,950.00",3,3,"1,960",$1.51,Swarthmore Ct,Dixon,95620,38.4351822,-121.8168389,"$1,913,665.20"
"1955 Folsom Fair Cir Unit for, Dixon, CA 95620","$1,030.00",4,3,"2,800",$0.37,Folsom Fair Cir Unit for,Dixon,95620,38.4372669,-121.8275924,"$668,161.07"
"825 Newgate Way, Dixon, CA 95620","$2,990.00",3,2,"2,000",$1.50,Newgate Way,Dixon,95620,38.4533717,-121.8256349,"$1,939,613.20"
"67877 Faja Caballero, Cathedral City, CA 92234","$2,695.00",3,2,"1,636",$1.65,Faja Caballero,Cathedral City,92234,33.8204285,-116.476574,"$1,748,246.68"
"30889 Camrose Dr, Cathedral City, CA 92234","$3,599.00",4,2,"1,636",$2.20,Camrose Dr,Cathedral City,92234,33.8243948,-116.4447442,"$2,334,671.54"
"68665 Risueno Rd, Cathedral City, CA 92234","$3,499.00",3,2,"1,465",$2.39,Risueno Rd,Cathedral City,92234,33.8331336,-116.464107,"$2,269,801.53"
"29585 Avenida La Paz Unit A, Cathedral City, CA 92234","$2,450.00",3,2,"1,665",$1.47,Avenida La Paz Unit A,Cathedral City,92234,33.8332047,-116.4747737,"$1,589,315.16"
"27205 Landau Blvd, Cathedral City, CA 92234","$3,199.00",3,2,"1,727",$1.85,Landau Blvd,Cathedral City,92234,33.8503299,-116.4760796,"$2,075,191.51"
"67141 N Chimayo Dr, Cathedral City, CA 92234","$2,600.00",2,2,"1,177",$2.21,N Chimayo Dr,Cathedral City,92234,33.8443752,-116.4903504,"$1,686,620.17"
"67263 N Chimayo Dr, Cathedral City, CA 92234","$4,000.00",2,2,"1,177",$3.40,N Chimayo Dr,Cathedral City,92234,33.8443671,-116.4885382,"$2,594,800.26"
"67299 N Chimayo Dr, Cathedral City, CA 92234","$2,300.00",1,2,851,$2.70,N Chimayo Dr,Cathedral City,92234,33.8443402,-116.487874,"$1,492,010.15"
"159 Estrada Way, Cathedral City, CA 92234","$2,850.00",3,2,"1,800",$1.58,Estrada Way,Cathedral City,92234,33.7841992,-116.4571243,"$1,848,795.19"
"67328 Cumbres Ct, Cathedral City, CA 92234","$2,700.00",1,2,851,$3.17,Cumbres Ct,Cathedral City,92234,33.8432566,-116.487342,"$1,751,490.18"
"67261 Cumbres Ct, Cathedral City, CA 92234","$4,000.00",2,2,984,$4.07,Cumbres Ct,Cathedral City,92234,33.8429697,-116.4883338,"$2,594,800.26"
"67252 S Chimayo Dr, Cathedral City, CA 92234","$4,400.00",2,2,"1,177",$3.74,S Chimayo Dr,Cathedral City,92234,33.8415575,-116.4885202,"$2,854,280.29"
"67330 W Chimayo Dr, Cathedral City, CA 92234","$3,300.00",2,2,"1,177",$2.80,W Chimayo Dr,Cathedral City,92234,33.8423058,-116.4900827,"$2,140,710.22"
"67112 W Chimayo Dr, Cathedral City, CA 92234","$3,495.00",2,3,"1,177",$2.97,W Chimayo Dr,Cathedral City,92234,33.8439949,-116.4911538,"$2,267,206.73"
"67552 N Natoma Dr, Cathedral City, CA 92234","$4,200.00",2,2,"1,177",$3.57,N Natoma Dr,Cathedral City,92234,33.8422477,-116.4837937,"$2,724,540.28"
"67575 N Natoma Dr, Cathedral City, CA 92234","$2,800.00",2,2,"1,212",$2.31,N Natoma Dr,Cathedral City,92234,33.8416413,-116.4833162,"$1,816,360.19"
"28602 Taos Ct, Cathedral City, CA 92234","$4,000.00",2,2,"1,212",$3.30,Taos Ct,Cathedral City,92234,33.8399339,-116.482336,"$2,594,800.26"
"28477 Taos Ct, Cathedral City, CA 92234","$4,000.00",2,2,"1,212",$3.30,Taos Ct,Cathedral City,92234,33.8410935,-116.4829395,"$2,594,800.26"
"35200 Cathedral Canyon Dr Unit B10, Cathedral City, CA 92234","$2,600.00",2,2,"1,384",$1.88,Cathedral Canyon Dr Unit B10,Cathedral City,92234,33.7921335,-116.4660009,"$1,686,620.17"
"28409 Taos Ct, Cathedral City, CA 92234","$4,500.00",3,2,"1,285",$3.50,Taos Ct,Cathedral City,92234,33.8414435,-116.4830208,"$2,919,150.30"
"28920 W Natoma Dr, Cathedral City, CA 92234","$4,000.00",2,2,"1,177",$3.40,W Natoma Dr,Cathedral City,92234,33.8374586,-116.4837221,"$2,594,800.26"
"28859 Desert Princess Dr, Cathedral City, CA 92234","$4,200.00",2,2,"1,285",$3.27,Desert Princess Dr,Cathedral City,92234,33.8378976,-116.4814552,"$2,724,540.28"
"39271 Paradise Way, Cathedral City, CA 92234","$3,275.00",3,2,"1,360",$2.41,Paradise Way,Cathedral City,92234,33.7630071,-116.4775471,"$2,124,492.72"
"67697 Lagos Way, Cathedral City, CA 92234","$4,000.00",3,2,"1,285",$3.11,Lagos Way,Cathedral City,92234,33.8367845,-116.4807195,"$2,594,800.26"
"67665 Lagos Way, Cathedral City, CA 92234","$4,500.00",3,2,"1,285",$3.50,Lagos Way,Cathedral City,92234,33.8369393,-116.4812775,"$2,919,150.30"
"1 Lakeview Cir, Cathedral City, CA 92234","$2,300.00",2,2,"1,000",$2.30,Lakeview Cir,Cathedral City,92234,33.8196245,-116.4880017,"$1,492,010.15"
"67663 Lagos Way, Cathedral City, CA 92234","$4,500.00",3,2,"1,285",$3.50,Lagos Way,Cathedral City,92234,33.8369769,-116.4814079,"$2,919,150.30"
"67633 Lagos Way, Cathedral City, CA 92234","$4,500.00",3,2,"1,285",$3.50,Lagos Way,Cathedral City,92234,33.8367563,-116.4818905,"$2,919,150.30"
"67595 Lagos Way, Cathedral City, CA 92234","$4,500.00",3,3,"1,285",$3.50,Lagos Way,Cathedral City,92234,33.836691,-116.482702,"$2,919,150.30"
"67460 Rio Madre Dr, Cathedral City, CA 92234","$3,795.00",4,3,"2,435",$1.56,Rio Madre Dr,Cathedral City,92234,33.8549209,-116.4849241,"$2,461,816.75"
"28827 Isleta Ct, Cathedral City, CA 92234","$4,500.00",3,2,"1,285",$3.50,Isleta Ct,Cathedral City,92234,33.8392944,-116.4786791,"$2,919,150.30"
"68153 Lakeland Dr, Cathedral City, CA 92234","$2,500.00",2,2,"1,255",$1.99,Lakeland Dr,Cathedral City,92234,33.8005859,-116.4680901,"$1,621,750.17"
"28763 E Portales Dr, Cathedral City, CA 92234","$4,000.00",2,2,984,$4.07,E Portales Dr,Cathedral City,92234,33.84001,-116.4765707,"$2,594,800.26"
"68335 Bahada Rd Unit Casita, Cathedral City, CA 92234","$1,600.00",0,1,300,$5.33,Bahada Rd Unit Casita,Cathedral City,92234,33.7668008,-116.4718572,"$1,037,920.11"
"29319 E Trancas Dr, Cathedral City, CA 92234","$4,200.00",2,3,"1,576",$2.66,E Trancas Dr,Cathedral City,92234,33.8355977,-116.4767617,"$2,724,540.28"
"29521 E Trancas Dr, Cathedral City, CA 92234","$5,500.00",2,3,"1,576",$3.49,E Trancas Dr,Cathedral City,92234,33.8343874,-116.4762086,"$3,567,850.36"
"69499 Las Camelias, Cathedral City, CA 92234","$2,995.00",4,2,"1,812",$1.65,Las Camelias,Cathedral City,92234,33.7801944,-116.4515119,"$1,942,856.70"
"69275 Kemper Ct, Cathedral City, CA 92234","$3,850.00",3,2,"1,386",$2.78,Kemper Ct,Cathedral City,92234,33.8249235,-116.454762,"$2,497,495.26"
"69483 Shawnee Ct, Cathedral City, CA 92234","$3,400.00",4,2,"1,884",$1.80,Shawnee Ct,Cathedral City,92234,33.8243623,-116.4498935,"$2,205,580.23"
"30557 Hampton Ct, Cathedral City, CA 92234","$2,590.00",3,2,"1,149",$2.25,Hampton Ct,Cathedral City,92234,33.8266822,-116.4415902,"$1,680,133.17"
"69808 Brookview Way, Cathedral City, CA 92234","$2,195.00",3,2,"1,451",$1.51,Brookview Way,Cathedral City,92234,33.8264516,-116.4442507,"$1,423,896.65"
"35200 Cathedral Canyon Dr Unit D30, Cathedral City, CA 92234","$2,295.00",2,2,"1,384",$1.66,Cathedral Canyon Dr Unit D30,Cathedral City,92234,33.792066,-116.4653697,"$1,488,766.65"
"69932 Willow Ln, Cathedral City, CA 92234","$3,100.00",3,2,"1,425",$2.18,Willow Ln,Cathedral City,92234,33.8242214,-116.4426948,"$2,010,970.21"
"34097 Emily Way, Rancho Mirage, CA 92270","$2,650.00",3,2,"1,218",$2.18,Emily Way,Rancho Mirage,92270,33.8007077,-116.44739,"$1,719,055.18"
"34220 Linda Way, Cathedral City, CA 92234","$3,400.00",3,2,"1,660",$2.05,Linda Way,Cathedral City,92234,33.8002151,-116.4512412,"$2,205,580.23"
"34380 Linda Way, Cathedral City, CA 92234","$3,850.00",4,3,"1,806",$2.13,Linda Way,Cathedral City,92234,33.7988645,-116.4512494,"$2,497,495.26"
"69440 Victoria Dr, Cathedral City, CA 92234","$3,200.00",3,2,"1,334",$2.40,Victoria Dr,Cathedral City,92234,33.7980377,-116.4503266,"$2,075,840.21"
"35069 Plumley Rd, Cathedral City, CA 92234","$3,499.00",3,2,"1,605",$2.18,Plumley Rd,Cathedral City,92234,33.793648,-116.449659,"$2,269,801.53"
"69941 Sunny Ln, Cathedral City, CA 92234","$4,100.00",3,2,"1,300",$3.15,Sunny Ln,Cathedral City,92234,33.7812852,-116.4422652,"$2,659,670.27"
"35 Lakeview Cir, Cathedral City, CA 92234","$2,200.00",2,2,"1,152",$1.91,Lakeview Cir,Cathedral City,92234,33.8188486,-116.4877698,"$1,427,140.15"
"68215 Peladora Rd, Cathedral City, CA 92234","$3,285.00",3,2,"2,136",$1.54,Peladora Rd,Cathedral City,92234,33.8403332,-116.4713987,"$2,130,979.72"
"68795 Vista Chino, Cathedral City, CA 92234","$2,999.00",3,2,"1,176",$2.55,Vista Chino,Cathedral City,92234,33.8446462,-116.4620213,"$1,945,451.50"
"28451 Avenida La Vista, Cathedral City, CA 92234","$5,000.00",4,3,"2,209",$2.26,Avenida La Vista,Cathedral City,92234,33.8410516,-116.4598753,"$3,243,500.33"
"251 S Paseo Laredo, Cathedral City, CA 92234","$2,350.00",2,2,"1,440",$1.63,S Paseo Laredo,Cathedral City,92234,33.7792425,-116.4488183,"$1,524,445.16"
"68910 Tachevah Dr, Cathedral City, CA 92234","$3,500.00",3,2,"1,352",$2.59,Tachevah Dr,Cathedral City,92234,33.8379286,-116.4595967,"$2,270,450.23"
"68375 Tachevah Dr, Cathedral City, CA 92234","$4,900.00",3,3,"2,443",$2.01,Tachevah Dr,Cathedral City,92234,33.8374067,-116.4689729,"$3,178,630.32"
"68265 Tortuga Rd, Cathedral City, CA 92234","$5,450.00",4,3,"1,520",$3.59,Tortuga Rd,Cathedral City,92234,33.8347448,-116.4706128,"$3,535,415.36"
"31121 Avenida El Mundo, Cathedral City, CA 92234","$3,200.00",3,2,"1,302",$2.46,Avenida El Mundo,Cathedral City,92234,33.8223427,-116.4694869,"$2,075,840.21"
"68605 Tachevah Dr, Cathedral City, CA 92234","$4,000.00",3,3,"2,180",$1.83,Tachevah Dr,Cathedral City,92234,33.8374222,-116.4649914,"$2,594,800.26"
"68645 Tachevah Dr, Cathedral City, CA 92234","$5,000.00",3,2,"1,324",$3.78,Tachevah Dr,Cathedral City,92234,33.8374825,-116.4641773,"$3,243,500.33"
"68725 Tachevah Dr, Cathedral City, CA 92234","$4,500.00",3,3,"1,822",$2.47,Tachevah Dr,Cathedral City,92234,33.8374812,-116.4623346,"$2,919,150.30"
"33950 Via De Anza Unit A, Cathedral City, CA 92234","$1,845.00",2,2,"1,400",$1.32,Via De Anza Unit A,Cathedral City,92234,33.801676,-116.4610446,"$1,196,851.62"
"68874 Concepcion Rd, Cathedral City, CA 92234","$3,300.00",3,2,"2,100",$1.57,Concepcion Rd,Cathedral City,92234,33.8355181,-116.461157,"$2,140,710.22"
"68875 Hermosillo Rd, Cathedral City, CA 92234","$3,465.00",3,2,"1,302",$2.66,Hermosillo Rd,Cathedral City,92234,33.8331473,-116.4613404,"$2,247,745.73"
"68845 Durango Rd, Cathedral City, CA 92234","$4,297.00",3,3,"1,626",$2.64,Durango Rd,Cathedral City,92234,33.8314221,-116.4619301,"$2,787,464.18"
"69200 Nilda Dr, Cathedral City, CA 92234","$2,495.00",3,2,"1,330",$1.88,Nilda Dr,Cathedral City,92234,33.7929712,-116.4544818,"$1,618,506.67"
"67872 S Trancas Dr, Cathedral City, CA 92234","$6,000.00",2,3,"1,350",$4.44,S Trancas Dr,Cathedral City,92234,33.8309051,-116.4771594,"$3,892,200.40"
"29631 W Trancas Dr, Cathedral City, CA 92234","$6,300.00",2,3,"1,600",$3.94,W Trancas Dr,Cathedral City,92234,33.8331129,-116.4801723,"$4,086,810.42"
"29488 W Laguna Dr, Cathedral City, CA 92234","$5,500.00",3,3,"1,604",$3.43,W Laguna Dr,Cathedral City,92234,33.8328091,-116.4834138,"$3,567,850.36"
"34785 Vaquero Rd Unit 103, Cathedral City, CA 92234","$1,875.00",2,2,950,$1.97,Vaquero Rd Unit 103,Cathedral City,92234,33.7959405,-116.4539658,"$1,216,312.62"
"29578 W Laguna Dr, Cathedral City, CA 92234","$7,000.00",2,3,"1,704",$4.11,W Laguna Dr,Cathedral City,92234,33.8327358,-116.4826404,"$4,540,900.46"
"67645 Cielo Ct, Cathedral City, CA 92234","$6,800.00",2,3,"1,604",$4.24,Cielo Ct,Cathedral City,92234,33.8323482,-116.4815284,"$4,411,160.45"
"29869 W Laguna Dr, Cathedral City, CA 92234","$5,700.00",2,3,"1,604",$3.55,W Laguna Dr,Cathedral City,92234,33.8310494,-116.4803968,"$3,697,590.38"
"33080 Moreno Rd, Cathedral City, CA 92234","$2,100.00",2,2,900,$2.33,Moreno Rd,Cathedral City,92234,33.8079719,-116.4632373,"$1,362,270.14"
"29756 Sandy Ct, Cathedral City, CA 92234","$5,500.00",3,3,"1,732",$3.18,Sandy Ct,Cathedral City,92234,33.8329421,-116.4775158,"$3,567,850.36"
"29672 Sandy Ct, Cathedral City, CA 92234","$2,700.00",2,2,"1,503",$1.80,Sandy Ct,Cathedral City,92234,33.8334394,-116.4775395,"$1,751,490.18"
"29576 Sandy Ct, Cathedral City, CA 92234","$5,000.00",2,2,"1,503",$3.33,Sandy Ct,Cathedral City,92234,33.8340467,-116.4775572,"$3,243,500.33"
"32971 Cathedral Canyon Dr Unit 3, Cathedral City, CA 92234","$1,799.00",2,2,"1,000",$1.80,Cathedral Canyon Dr Unit 3,Cathedral City,92234,33.8089028,-116.467013,"$1,167,011.42"
